username,reponame,repourl,stars
ljianshu,Blog,https://www.github.com/ljianshu/Blog,7900
metafizzy,infinite-scroll,https://www.github.com/metafizzy/infinite-scroll,7400
olifolkerd,tabulator,https://www.github.com/olifolkerd/tabulator,6900
developit,unfetch,https://www.github.com/developit/unfetch,5700
jquery-form,form,https://www.github.com/jquery-form/form,5200
elbywan,wretch,https://www.github.com/elbywan/wretch,4900
Studio-42,elFinder,https://www.github.com/Studio-42/elFinder,4700
dwyl,learn-to-send-email-via-google-script-html-no-server,https://www.github.com/dwyl/learn-to-send-email-via-google-script-html-no-server,3200
alovajs,alova,https://www.github.com/alovajs/alova,3100
ded,reqwest,https://www.github.com/ded/reqwest,2900
wendux,ajax-hook,https://www.github.com/wendux/ajax-hook,2600
LeaVerou,bliss,https://www.github.com/LeaVerou/bliss,2400
noelboss,featherlight,https://www.github.com/noelboss/featherlight,2100
craftpip,jquery-confirm,https://www.github.com/craftpip/jquery-confirm,1900
k8w,tsrpc,https://www.github.com/k8w/tsrpc,1800
nette,tracy,https://www.github.com/nette/tracy,1800
loadingio,css-spinner,https://www.github.com/loadingio/css-spinner,1800
taoensso,sente,https://www.github.com/taoensso/sente,1700
codingforentrepreneurs,eCommerce,https://www.github.com/codingforentrepreneurs/eCommerce,1600
joaomilho,Enterprise,https://www.github.com/joaomilho/Enterprise,1600
