username,reponame,repourl,stars
ByteByteGoHq,system-design-101,https://www.github.com/ByteByteGoHq/system-design-101,68000
bregman-arie,devops-exercises,https://www.github.com/bregman-arie/devops-exercises,67500
localstack,localstack,https://www.github.com/localstack/localstack,57200
serverless,serverless,https://www.github.com/serverless/serverless,46600
donnemartin,data-science-ipython-notebooks,https://www.github.com/donnemartin/data-science-ipython-notebooks,27800
pulumi,pulumi,https://www.github.com/pulumi/pulumi,22300
danny-avila,LibreChat,https://www.github.com/danny-avila/LibreChat,20700
getsops,sops,https://www.github.com/getsops/sops,17600
kubernetes-sigs,kubespray,https://www.github.com/kubernetes-sigs/kubespray,16400
aws,aws-cli,https://www.github.com/aws/aws-cli,15700
ramitsurana,awesome-kubernetes,https://www.github.com/ramitsurana/awesome-kubernetes,15200
caprover,caprover,https://www.github.com/caprover/caprover,13600
milanm,DevOps-Roadmap,https://www.github.com/milanm/DevOps-Roadmap,13400
GoogleCloudPlatform,terraformer,https://www.github.com/GoogleCloudPlatform/terraformer,13000
donnemartin,awesome-aws,https://www.github.com/donnemartin/awesome-aws,12600
aws,aws-cdk,https://www.github.com/aws/aws-cdk,11800
infracost,infracost,https://www.github.com/infracost/infracost,11200
prowler-cloud,prowler,https://www.github.com/prowler-cloud/prowler,11100
apereo,cas,https://www.github.com/apereo/cas,11000
aws,chalice,https://www.github.com/aws/chalice,10700
